0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:43 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:43 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:43 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 200 2027
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:43 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:43 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:43 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:59 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:59 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:59 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:59 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:59 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:59 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:07 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:07 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:07 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:07 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:07 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:07 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:35 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:35 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:35 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:35 +0530] "GET /dairymanagement/images/mainimg.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:36 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:36 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:36 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:55 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:55 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:55 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:55 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:55 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:16:55 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:07 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:07 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:07 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:07 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:07 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:07 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:10 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:10 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:10 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:10 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:10 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:55 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:55 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:55 +0530] "GET /dairymanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:55 +0530] "GET /dairymanagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:55 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 200 2053
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:55 +0530] "GET /dairymanagement/images/NATURE-ONE-DAIRY-CORPORATE-LOGO-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:17:55 +0530] "GET /dairymanagement/images/login.jpg HTTP/1.1" 304 -
